Card   1: 24 12 26 39 19 98 74 16 82 77 | 80 11 51  1 74 60 77 68 42 35 39 78 21 12 29 19 25 98 65 91 33 17 59 24 31
Card   2: 33 21 96 64  9 38 65 74 16 91 | 14 51 85  1 64 29 74 18 15 38 13 96 16 88 84 21 95 49  9 27 33 63 65 91 90
Card   3: 31 97 18 93 71 54 24 12 19 87 | 59 96 72 94  4 51 74 84 47 10 57 89 65 37 39 16 31 91 26 85 44 30 24 40  2
Card   4: 77 20 66 48 23 32 76  9 75 89 | 31 57 89 51  8 34  9 59 39 73  4 32 18 77 94 76 29 23 41 27 66 20 40 48 75
Card   5: 25 40 65 27 41  7  1 80 26 47 |  7 25 40  1 16 67 42 34 82 19 58  9 91  6 47 80 36 46 77 27 72 41 26 33 81
Card   6: 92 39 18 64  7 71 48 29  3 38 | 55 29 73 31 15 75 13 71 94 48 78 23 54  7 10 86 34 82 91 85 67 14 57 64  3
Card   7: 67 43 34 90 14 32 38 49 11 75 | 15 11 38 30 32 29 59 73 72 42  1  4 55 71 57 64 19 90 24 78 31 67 49 98 43
Card   8: 70 64 82  4 16  6 19 13  9 29 | 21 93 37 69 24 62 60  3 90 83  8 66 20 34 55 22  6 84 99 50 33 26 65 98 86
Card   9: 31 80 67 81 28 90 23  4 48 86 | 90 80 32  8 15 13 81 63 46 45 50 47 17 96 48 28 57 98 88 86  1 34  4 87  5
Card  10: 40 46 22 70 59 97 32 20  4 65 | 22 25 59 88 30 82 39 91  4 72  9 42 86 65 96 93  5 84 67 40 57 20 36  8 80
Card  11: 53 10  4 91 42 12 32 86 38 60 |  3 60 20 65 85 94 58 38 10 76 44 81 51  6 99 19 31 43 84 95 59 36 86 82 11
Card  12: 73 87 16 92 67 13 28 82 97 86 | 60 45 83  4 90 43 54 55 93 62  7 94 65 72 32 25 23 38 88 61 87 76 35 20 18
Card  13: 92 13 96 89 25 81 80 72 76 48 | 92 32 31 23 61 74 13 95 71 78 17  1 22 86 62 55 60 41 96 11 77 93 63 99 76
Card  14:  8 59 91 73 10 61 65 34 29 81 |  9 32 87 78 26 16 90 49 74 61 56 11 57 93 77 62 75 46 36 59 85  3 19 34 28
Card  15: 87 53 99 88 20 39 28 61 38 68 | 60 16  1  5 10 53 45 56 89 42 80 21  2 37 98 99 74 71 72 59 84 41 87 95 67
Card  16:  2 19 58 83 91 76  9 63 71 77 | 37  3 59 79 72 53 70  9 43 36 97 98  6 85 90 16 55 11 56  1  8 49 52 15 22
Card  17: 29 83 12 76 32 82 40 91 84 97 | 21 79  3 31  1 36 85 17 59 30 87 46 27 63 75 56 72 67 11 42 84 62 53 68 38
Card  18: 39 63 75 71 70 41 49 15 82 78 | 44 74  3 24 35 41 12 47 34 54 91 45 67 57 62 60 95  8 99 19  9 79 80  4 92
Card  19: 82 33 76 22 93 10 49 46  9 63 | 70 79 80 44 92 15 90 31 75 17 54 81 12 21 71 61 45 60 72 87 91  8 65 83 47
Card  20: 60 22 86  1 94 25 72 51 73 57 | 28 66 60 25 16  1 54 36 94  7 73 29 57 55 61 22 51 44 39 69 86 23 72  9 71
Card  21:  6 30 81 11 69 96 45 76  4 78 | 45 96 51 87 65 95 78 82 76 24 32 28 11 50  4 85 74 81 30 33 69  6 34 79 41
Card  22: 91 88 99  7 98  1 34 81 36 44 | 69 98 15 50 22  7 27 56 52 97 66 88 89  5 31 34 99 11 91 36  1 33 44 81 55
Card  23: 94 78 99 13 27 56 81  1 62 84 | 84 33 13 70 81 99 63 56 34 72 64 27 93 87 78  1 29  4 62 44 19 94 37 86 18
Card  24:  8 81 12 30 78 84 33 39 74 20 | 39 51  4 93 62 74 67 75  8 12 28 33 30 99 84 97 95  5 14  1 20 78 81 61 60
Card  25: 79 74 91 69  3 96 42 98 87 82 | 53 92 74 17 25 81 96 61 56 15 59 27 82 97  2 71 68 95 83 13 10 47 41 75 87
Card  26: 20 87 17 34 69 97 36 77 96 66 | 66 10 11 96 83 17 13 57  6 73 88 72  2 39 89 48 79 33 22 19 56 14  9 85 26
Card  27: 18 10 33 21 67 25  7 86 12 72 | 91 53  6 30 85 90 61 20 40 31 23 83 78 72 68 81 63 58 97 42 16 50 79 37 66
Card  28: 96 36 98 66 37  8 78 41 55  7 | 77 70 42 37 74  8 96 76 63 64 93 98 78 30 66  1  9 55  7 41 90 29  4 36 22
Card  29: 51 44 97 56 70 67 82 47 61 60 | 90 94 15 67 75  4 52 21 87 33 77 97 76 20 13 35 45 39 78 82 48 70 89 44 19
Card  30: 57 24 50 79 36 12 45 68 41 14 | 66 90 12 44 29 79 91 73 57 69 68 24 36 56 33 14  1 83 41 45  9 40 60 20 50
Card  31: 61 53 23 10 85 72 62 52 26 57 | 37 50 73  7 77 26 63 23 83 44 29 96 48 91 27 53 34 33 61 72 20 42 10 22 25
Card  32: 76 41 35 73 45 66 54  3 69 12 |  8  2 42 85 28 93 58 89 76 73 84 17  3 56 12 52 68 62 66 54 69 45 41 82 35
Card  33: 32 29 97 52 45 95 92 18 42 47 | 65 97 46 95 96 39 37 16 52 69 45 92 50 17 29 18  1 47 42 77 56 81 71  7 32
Card  34: 26 96 10 87 15 16 84 99 75  4 | 29 53 75 48 91  8 89 30  5 22 21 87 13 36 49 16 25 94  2 41 18 69 70 68 67
Card  35: 57 89  3 81  5 35 32 29 91 65 | 50 68 11 61 39 91 36 31  5 89 12  9 60 13 78 75  4 51 21 45 54 14 73  1 62
Card  36: 80 46 17 70 42  1 63 87 92 98 | 37 18 64 47 46 94 35  2 10 86 91 19  1 80  4 71  5 78 81 52 31 17 92 40 68
Card  37: 22 15 30  2 82 24 76 84 85  5 | 30 85 22 24 77 12 49 84 93  1 82 17 27 47  4 10  2 86  6 63 31 33 60 55 57
Card  38: 63 51 26 56 99 22 32 59  7  3 | 73 11 13  5 37 18 84 35 98 42  4 55 15 58 60 78 22 41  3 89 33 74 93 56 46
Card  39:  5 96 13 31 59 88 87 55 27 11 | 32 46 56 28 43 45 69 27  5 39 91 79 98 63 35 21 29 38 30 82 71 93 49 80 70
Card  40: 62 47 56 14 20 91 86  5 12 33 | 88 65 66 10 17 30 51 63 15 83  3 55 27 28 64 35  7 99 76 68 39 23 48 74 41
Card  41: 48 67 38 82 73 65  1 11 78 53 | 50 76 31 66 11 98 80 29 93  6 82 15 86 74 78 28 60 63 12 59 71 24 68 36 56
Card  42: 91 27 55 36 14 71 45 10 42  5 | 87 44 80 24 43 84 95 99 53 76 33 23 96 20 62 51 72 49 79 78 39 94 74 61 89
Card  43: 81 61 13 78 28 75 58 67 54 11 | 96 51 53 73 76 24 82 85 42 25 93 57 35 91  9 64 99 11 88 79 39 44 74 65 29
Card  44: 82 69 37 22 80 81 55 35 27 19 | 12 63 85 74 39 33 95 75 93 73 44 40  2 76 14 94 42  8 17  9  6 84 34 23  4
Card  45: 20 86 52 74 80 69 53 33 98 41 | 69 51 18 74 98 90 42 97  7 24 41 62 30 58 95 52  5 31 33 53 20 87 38 25 80
Card  46: 67 72 36  1 54 24 86 61 85 52 | 19 22 86 64 41 88 31 72 17  1 21 85 67 29 82 54 36 61 75 56 70 53 95 52 24
Card  47: 62 23 80 46 56 10 52 89 50  5 | 37 55 43 79 98 60 30 44 10 97 38 90 88 83 36 35 61 28 76 21 65 87 40 84 91
Card  48: 11 26 39 71  9 51 86 65 47 13 | 54 23 60 47 26  9 71 13 85 92 39 19 79 14 73 74 45 22 36 15 65 11 63 10 33
Card  49: 25 62 23 78 98 83 33  7 37 10 | 85 81 71 67 83 98 60 35 10 79 33  7 52 89 62 93 87 23 37 11 25 45 78 95 82
Card  50: 98 18 87 92 43 45 67 12 46 69 | 38 74 44 31 89  9 62 53 34 43 41 96 11  4 47  8  5 42  3 95 71 28 73 97 33
